"","X","Property.Name","Price","House.Type","Area.in.sq.ft","No..of.Bedrooms","No..of.Bathrooms","No..of.Receptions","Location","City.County","Postal.Code"
"1880",1879,"Stapleton Hall Road",639936,"Flat / Apartment",666,1,1,1,"","London","N4 4QA"
"1881",1880,"Denton Road",2304000,"House",2098,4,4,4,"","Twickenham","TW1 2TN"
"1882",1881,"Gunmakers Lane",556800,"Flat / Apartment",506,1,1,1,"","London","E3 5GG"
"1883",1882,"Rochester Row",1273600,"Flat / Apartment",747,2,2,2,"Westminster","London","SW1P 1LQ"
"1884",1883,"Highstone House",1984000,"Flat / Apartment",1315,3,3,3,"21 Highbury Crescent","London","N5 1RX"
"1885",1884,"Vincent Square",4608000,"House",2600,4,4,4,"","London","SW1P 2NP"
"1886",1885,"Elsham Road",960000,"Flat / Apartment",709,2,2,2,"","London","W14 8HB"
"1887",1886,"Cambridge Street",870400,"Flat / Apartment",581,2,2,2,"Pimlico","London","SW1V 4QE"
"1888",1887,"Roden Street",1785600,"House",1428,5,5,5,"Holloway","London","N7 6QJ"
"1889",1888,"Bolanachi Building",736000,"Flat / Apartment",745,2,2,2,"Enid Street","London","SE16 3EX"
"1890",1889,"Barham Road",3424000,"House",3595,5,5,5,"Wimbledon","London","SW20 0ET"
"1891",1890,"Shepherdess Walk",2816000,"Flat / Apartment",2288,3,3,3,"Old Street","London","N1 7LB"
"1892",1891,"Wellington Close",2944000,"House",1447,2,2,2,"","London","W11 2AN"
"1893",1892,"Kenilworth Gardens",665600,"House",1162,4,4,4,"","London","SE18 3JB"
"1894",1893,"Hillbrook Road",1120000,"House",1140,4,4,4,"","London","SW17 8SF"
"1895",1894,"Television Centre",947200,"Penthouse",579,1,1,1,"101 Wood Lane","London","W12 7FS"
"1896",1895,"Phoenix Way",672000,"Flat / Apartment",699,2,2,2,"","London","SW18 2PW"
"1897",1896,"Brunswick Gardens",12160000,"House",4454,5,5,5,"","London","W8 4AJ"
"1898",1897,"Wood Crescent",1600000,"Flat / Apartment",897,2,2,2,"","London","W12 7GP"
"1899",1898,"Graveney Road",1017600,"House",1236,3,3,3,"","London","SW17 0EQ"
"1900",1899,"Philbeach Gardens",1196800,"Flat / Apartment",683,2,2,2,"","London","SW5 9DY"
"1901",1900,"Chiswick Village",684800,"Flat / Apartment",678,2,2,2,"","London","W4 3DF"
"1902",1901,"Sulgrave Road",2553600,"House",2055,4,4,4,"","London","W6 7QH"
"1903",1902,"Coleraine Road",2304000,"House",2996,5,5,5,"Blackheath","London","SE3 7PQ"
"1904",1903,"Wellfield Road",960000,"House",1030,3,3,3,"","London","SW16 2BY"
"1905",1904,"17 Lillie Square",1830400,"New development",905,2,2,2," Earls Court","London","SW6 1UE"
"1906",1905,"Claremont Square",1920000,"Flat / Apartment",1197,2,2,2,"","London","N1 9LS"
"1907",1906,"Leppoc Road",2419200,"House",2408,5,5,5,"","London","SW4 9LT"
"1908",1907,"Walsingham",2547200,"Flat / Apartment",1364,3,3,3,"St. Johns Wood Park","London","NW8 6RG"
"1909",1908,"Battersea Park Road",1056000,"Flat / Apartment",1109,2,2,2,"","London","SW11 4ND"
"1910",1909,"Samford House",672000,"Flat / Apartment",779,4,4,4,"Charlotte Terrace","London","N1 0JF"
"1911",1910,"Buckston Browne Gardens",2432000,"House",4558,5,5,5," Orpington","Kent","BR6 7FF"
"1912",1911,"Leathwaite Road",928000,"Flat / Apartment",635,2,2,2,"","London","SW11 1XQ"
"1913",1912,"Telfords Yard",1152000,"Flat / Apartment",1436,2,2,2,"","London","E1W 2BS"
"1914",1913,"Belgrave Road",5113600,"House",4642,6,6,6,"Pimlico","London","SW1V 2BQ"
"1915",1914,"Dalby Road",1408000,"House",1420,3,3,3," Wandsworth","London1500","SW18 1AW"
"1916",1915,"Deerings Drive",1248000,"House",1448,4,4,4,"Pinner","Middlesex","HA5 2NZ"
"1917",1916,"Astonville Street",1568000,"House",1495,4,4,4,"Southfields","London","SW18 5AG"
"1918",1917,"Upper Halliford Road",416000,"Flat / Apartment",601,2,2,2,"Shepperton","Middlesex","TW17 8SH"
"1919",1918,"Earlsfield Road",1504000,"House",2259,5,5,5,"Wandsworth","London","SW18 3DY"
"1920",1919,"City Road",640000,"Flat / Apartment",551,1,1,1,"Shoreditch","London","EC1V 1AG"
"1921",1920,"Wilton Place",8448000,"House",3388,5,5,5,"","London","SW1X 8RH"
"1922",1921,"Hillbrow",1088000,"Flat / Apartment",1239,3,3,3," Richmond","Surrey","TW10 6BH"
"1923",1922,"Church Road",5056000,"House",4629,6,6,6," Richmond","Surrey","TW10 5HG"
"1924",1923,"Regents Park Road",2240000,"Flat / Apartment",1677,2,2,2,"Primrose Hill","London","NW1 7SX"
"1925",1924,"Spencer Road",2496000,"House",2797,6,6,6,"East Molesey","Surrey","KT8 0SP"
"1926",1925,"York Mansions",2688000,"Flat / Apartment",1550,3,3,3,"Prince of Wales Drive","London","SW11 4BN"
"1927",1926,"Overstrand Mansions",2156800,"Flat / Apartment",1318,2,2,2,"Prince of Wales Drive","London","SW11 4EU"
"1928",1927,"Candlemakers Apartments",704000,"Flat / Apartment",759,1,1,1," Battersea","London","SW11 3RS"
"1929",1928,"Bond Mansions (Phase 2a)",883200,"New development",633,1,1,1,"","Wornington Road","W10 5RZ"
"1930",1929,"Bond Mansions (Phase 2a)",876800,"New development",594,1,1,1,"","Wornington Road","W10 5RZ"
"1931",1930,"Bond Mansions (Phase 2a)",979200,"New development",733,2,2,2,"","Wornington Road","W10 5RZ"
"1932",1931,"Cavendish Road",556800,"Flat / Apartment",412,1,1,1,"","London","SW12 0BH"
"1933",1932,"Cavendish Road",556800,"Flat / Apartment",420,1,1,1,"","London","SW12 0BH"
"1934",1933,"Bond Mansions (Phase 2a)",1056000,"New development",775,2,2,2,"","Wornington Road","W10 5RZ"
"1935",1934,"Gowing House",1472000,"New development",1206,3,3,3," Wandsworth","London","SW18 1SZ"
"1936",1935,"Bond Mansions",908800,"New development",830,1,1,1,"","Wornington Road","W10 5RZ"
"1937",1936,"Avenue Close",2169600,"Flat / Apartment",1168,2,2,2,"Avenue Road","London","NW8 6DA"
"1938",1937,"Provost Street",640000,"Flat / Apartment",508,1,1,1,"Shoreditch","London","N1 7NB"
"1939",1938,"Cavendish Road",1088000,"Flat / Apartment",907,3,3,3,"","London","SW12 0BH"
"1940",1939,"The Listed Building",1241600,"Flat / Apartment",1350,2,2,2,"350 The Highway","London","E1W 3HU"
"1941",1940,"Highbury Hill",2112000,"House",1642,4,4,4,"","London","N5 1AU"
"1942",1941,"Reynolds House",608000,"Flat / Apartment",663,2,2,2,"Approach Road","London","E2 9JR"
"1943",1942,"Trouville Road",1344000,"Flat / Apartment",1050,2,2,2,"","London","SW4 8QL"
"1944",1943,"Clancarty Road",2240000,"House",1770,4,4,4,"","London","SW6 3AH"
"1945",1944,"Pembridge Road",960000,"Flat / Apartment",477,1,1,1,"","London","W11 3HN"
"1946",1945,"Kensington House",832000,"Flat / Apartment",1162,2,2,2," Woodford Green","Essex","IG8 8RJ"
"1947",1946,"Belsize Avenue",742400,"Flat / Apartment",607,1,1,1,"","London","NW3 4BL"
"1948",1947,"17 Lillie Square",2150400,"New development",1100,2,2,2," Earls Court","London","SW6 1UE"
"1949",1948,"Turner House",1600000,"Flat / Apartment",802,1,1,1," Covent Garden","London","WC2R 0PP"
"1950",1949,"Pierhead Lock",896000,"Flat / Apartment",1387,4,4,4," Canary Wharf","London","E14 3FD"
"1951",1950,"Barmouth Road",1023998.72,"Flat / Apartment",1283,2,2,2,"Wandsworth","London","SW18 2DN"
"1952",1951,"Margil House",1056000,"Flat / Apartment",1175,3,3,3,"Singapore Road","London","W13 0FD"
"1953",1952,"Television Centre",1344000,"Flat / Apartment",953,2,2,2,"101 Wood Lane","London","W12 7FT"
"1954",1953,"St. Ann's Crescent",736000,"Flat / Apartment",720,2,2,2,"","London","SW18 2LR"
"1955",1954,"Eamont Court",928000,"Flat / Apartment",617,2,2,2," St Johns Wood","London","NW8 7DW"
"1956",1955,"Hampton Court Way",1280000,"House",1827,4,4,4,"","Thames Ditton","KT7 0LT"
"1957",1956,"Lanson Building",672000,"Flat / Apartment",472,1,1,1,"348 Queenstown Road","London","SW11 8QN"
"1958",1957,"Hepworth Court",2048000,"Flat / Apartment",1019,3,3,3,"30 Gatliff Road","London","SW1W 8QP"
"1959",1958,"Quarry Road",1984000,"House",2326,5,5,5,"Wandsworth","London","SW18 2QH"
"1960",1959,"Barmouth Road",960000,"Flat / Apartment",1176,3,3,3,"Wandsworth","London","SW18 2DT"
"1961",1960,"Baxendale Street",1216000,"House",987,2,2,2,"Shoreditch","London","E2 7BY"
"1962",1961,"Redesdale Street",5440000,"House",2223,4,4,4,"","London","SW3 4BL"
"1963",1962,"Oxford Road",908800,"Flat / Apartment",730,2,2,2,"Putney","London","SW15 2LF"
"1964",1963,"Ravenswood Park",1408000,"House",2007,4,4,4,"Northwood","Middlesex","HA6 3PR"
"1965",1964,"Davenham Avenue",2048000,"House",2914,4,4,4,"Northwood","Middlesex","HA6 3HW"
"1966",1965,"Chiltern Place",16576000,"New development",2840,2,2,2," Marylebone","London","W1U 4EJ"
"1967",1966,"Grosvenor Avenue",959936,"Flat / Apartment",1053,3,3,3,"Highbury","London","N5 2NP"
"1968",1967,"Devonshire Road",1151936,"House",1344,5,5,5,"","London","W5 4TR"
"1969",1968,"Barwell Court Farmhouse",895936,"House",1410,3,3,3," Chessington","Surrey","KT9 2LZ"
"1970",1969,"Hugero Point",511993.6,"Flat / Apartment",569,1,1,1," Greenwich","London","SE10 0GS"
"1971",1970,"Ionian Building",672000,"Flat / Apartment",814,1,1,1,"45 Narrow Street","London","E14 8DW"
"1972",1971,"Palladian Gardens",3200000,"New development",2967,5,5,5,"Chiswick","London","W4 2ER"
"1973",1972,"Vanilla & Sesame Court",1216000,"Flat / Apartment",698,2,2,2,"Curlew Street","London","SE1 2NP"
"1974",1973,"George Road",2240000,"New development",2553,5,5,5,"Kingston Upon Thames","Surrey","KT2 7NR"
"1975",1974,"Lysia Street",1568000,"House",1510,4,4,4,"Fulham","London","SW6 6NE"
"1976",1975,"Stormont Road",896000,"Flat / Apartment",678,2,2,2,"","London","SW11 5EJ"
"1977",1976,"17 Lillie Square",2777600,"New development",1081,3,3,3," Earls Court","London","SW6 1UE"
"1978",1977,"Cholmondeley Walk",4160000,"House",3410,3,3,3,"Richmond","Surrey","TW9 1NS"
"1979",1978,"Talisman Tower",806400,"Flat / Apartment",709,2,2,2," Canary Wharf","London","E14 9BU"
"1980",1979,"St Paul Street",2048000,"House",1565,3,3,3,"Islington","London","N1 7AH"
"1981",1980,"Balcorne Street",608000,"Flat / Apartment",626,2,2,2,"South Hackney","London","E9 7AU"
"1982",1981,"Ormond Road",1312000,"Flat / Apartment",992,3,3,3,"Richmond","Surrey","TW10 6TH"
"1983",1982,"Fulham Road",640000,"Flat / Apartment",481,1,1,1,"","London","SW6 5SA"
"1984",1983,"Cleveland Street",704000,"Flat / Apartment",358,1,1,1,"Fitzrovia","London","W1T 6NU"
"1985",1984,"Ferry Road",5568000,"House",4862,6,6,6,"Barnes","London","SW13 9PR"
"1986",1985,"Greenhill Court",736000,"Flat / Apartment",997,2,2,2," Northwood","Middlesex","HA6 2BD"
"1987",1986,"Orchard Rise",3392000,"House",3009,5,5,5,"Richmond","Surrey","TW10 5BX"
"1988",1987,"Addison Gardens",992000,"Flat / Apartment",1173,1,1,1,"","London","W14 0DS"
"1989",1988,"Wadham Road",1721600,"House",1909,4,4,4,"Putney","London","SW15 2LS"
"1990",1989,"Carmalt Gardens",2880000,"House",2978,5,5,5,"Putney","London","SW15 6NE"
"1991",1990,"Falcon Wharf",640000,"Flat / Apartment",752,1,1,1," Battersea","London","SW11 3RY"
"1992",1991,"Parliament View Apartments",2048000,"Flat / Apartment",1192,2,2,2,"Lambeth","London","SE1 7XQ"
"1993",1992,"Drapers Yard",659200,"Flat / Apartment",578,1,1,1,"Wandsworth","London","SW18 1SF"
"1994",1993,"East Hill",633600,"Flat / Apartment",693,1,1,1,"","London","SW18 2HQ"
"1995",1994,"Coborn Road",1900800,"House",1541,4,4,4,"Bow","London","E3 2DA"
"1996",1995,"Park Village East",4672000,"House",2034,4,4,4,"Regent's Park","London","NW1 7PZ"
"1997",1996,"Haberdasher Street",1056000,"Penthouse",896,3,3,3,"","London","N1 6EJ"
"1998",1997,"Melrose Road",806400,"House",1596,4,4,4,"Coulsdon","Surrey","CR5 3JH"
"1999",1998,"Elspeth Road",864000,"Flat / Apartment",1021,3,3,3,"","London","SW11 1DS"
"2000",1999,"Knightsbridge",22976000,"New development",5880,5,5,5,"","London","SW3 2AH"
"2001",2000,"Clephane Road",895936,"Flat / Apartment",976,3,3,3,"Canonbury","London","N1 2FT"
"2002",2001,"Thorpe Hall Mansions",768000,"Flat / Apartment",854,3,3,3,"Eaton Rise","London","W5 2HB"
"2003",2002,"Aragon Avenue",1152000,"House",1363,4,4,4,"Thames Ditton","Surrey","KT7 0PY"
"2004",2003,"Woodbourne Drive",1529600,"House",2149,4,4,4," Esher","Surrey","KT10 0DR"
"2005",2004,"Des Barres Court",505600,"Penthouse",594,1,1,1," Greenwich","London","SE10 0GY"
"2006",2005,"Landmark East Tower",1017600,"Flat / Apartment",862,2,2,2,"24 Marsh Wall","London","E14 9DB"
"2007",2006,"Argyll Mansions",1728000,"Flat / Apartment",1768,3,3,3,"Bishops King Road","London","W14 8QQ"
"2008",2007,"Benbow House",4608000,"Flat / Apartment",2147,3,3,3,"24 New Globe Walk","London","SE1 9DS"
"2009",2008,"Fernshaw Mansions",2047936,"Flat / Apartment",1111,3,3,3,"Fernshaw Road","London","SW10 0TD"
"2010",2009,"The Tower",2368000,"Flat / Apartment",1176,2,2,2,"1 St. George Wharf","London","SW8 2DU"
"2011",2010,"Weldin Mews",1120000,"House",1211,3,3,3,"Putney","London","SW18 1FT"
"2012",2011,"Portman Avenue",1728000,"House",1830,5,5,5,"","London","SW14 8NX"
"2013",2012,"Bolingbroke Grove",8e+05,"Flat / Apartment",760,2,2,2,"","London","SW11 6HB"
"2014",2013,"North Side Wandsworth Common",7040000,"House",4273,6,6,6,"","London","SW18 2SU"
"2015",2014,"Chiswick Wharf",2041600,"House",1643,5,5,5,"Chiswick","London","W4 2SR"
"2016",2015,"Pembridge Villas",6080000,"House",2979,4,4,4,"","London","W11 3EN"
"2017",2016,"Whittingstall Road",864000,"Flat / Apartment",638,1,1,1,"Fulham","London","SW6 4EA"
"2018",2017,"Noel Road",1152000,"Flat / Apartment",822,2,2,2,"Islington","London","N1 8HD"
"2019",2018,"Buckland Crescent",8256000,"House",5288,6,6,6,"Belsize Park","London","NW3 5DX"
"2020",2019,"Chantry Street",2048000,"House",1195,2,2,2,"Islington","London","N1 8NL"
"2021",2020,"Curzon Street",4800000,"Flat / Apartment",1358,2,2,2,"Mayfair","London","W1J 5HG"
"2022",2021,"Banister House",595200,"Flat / Apartment",730,2,2,2,"Homerton High Street","London","E9 6BH"
"2023",2022,"North Street",1088000,"Flat / Apartment",842,2,2,2,"","London","SW4 0HQ"
"2024",2023,"Baronsmead Road",4160000,"House",3179,6,6,6,"Barnes","London","SW13 9RR"
"2025",2024,"Tower View Apartments",1920000,"Flat / Apartment",1200,2,2,2,"84 St. Katharines Way","London","E1W 1BE"
"2026",2025,"Old School Square",576000,"Flat / Apartment",717,2,2,2,"Canary Wharf","London","E14 7DJ"
"2027",2026,"Ashley Gardens",3040000,"Flat / Apartment",2123,3,3,3,"Emery Hill Street","London","SW1P 1PD"
"2028",2027,"Broom Close",1984000,"House",3065,4,4,4,"Esher","Surrey","KT10 9ET"
"2029",2028,"Elers Road",2278400,"House",2264,5,5,5,"Ealing","London","W13 9QB"
"2030",2029,"Mortimer Road",992000,"Flat / Apartment",729,2,2,2,"De Beauvoir","London","N1 4LA"
"2031",2030,"Palace Mansions",1856000,"Flat / Apartment",1700,4,4,4,"Earsby Street","London","W14 8QW"
"2032",2031,"Wendon Street",544000,"Flat / Apartment",563,1,1,1,"Bow","London","E3 2JR"
"2033",2032,"Cheyne Walk",2880000,"Flat / Apartment",1171,2,2,2,"","London","SW3 5LX"
"2034",2033,"Hyde Park Gardens",5440000,"Penthouse",1946,4,4,4,"","London","W2 2LU"
"2035",2034,"Byfeld Gardens",2560000,"House",2009,4,4,4,"Barnes","London","SW13 9HP"
"2036",2035,"Severnake Close",1024000,"House",1260,4,4,4,"Canary Wharf","London","E14 9WE"
"2037",2036,"Harrowgate Road",1152000,"House",1275,3,3,3,"Homerton","London","E9 5EB"
"2038",2037,"Glebe Place",8896000,"House",3774,5,5,5,"","London","SW3 5JB"
"2039",2038,"Borneo Street",997120,"Flat / Apartment",832,2,2,2,"Putney","London","SW15 1QQ"
"2040",2039,"Dyers Lane",1209600,"House",1146,2,2,2,"Putney","London","SW15 6JR"
"2041",2040,"Cygnet Close",1657600,"House",2055,4,4,4,"Northwood","Middlesex","HA6 2TA"
"2042",2041,"Aristotle Road",767998.72,"Flat / Apartment",821,2,2,2,"","London","SW4 7UZ"
"2043",2042,"Northcote Road",704000,"Flat / Apartment",630,2,2,2,"","London","SW11 6QB"
"2044",2043,"Vardens Road",896000,"Flat / Apartment",680,2,2,2,"","London","SW11 1RQ"
"2045",2044,"Waterloo Terrace",2368000,"House",1512,3,3,3,"Islington","London","N1 1TQ"
"2046",2045,"Ember Lane",1663993.6,"House",2394,5,5,5,"Esher","Surrey","KT10 8EF"
"2047",2046,"Palace Road",3648000,"House",5116,6,6,6,"East Molesey","Surrey","KT8 9DW"
"2048",2047,"Sheen Common Drive",3392000,"House",2942,6,6,6,"Richmond","Surrey","TW10 5BW"
"2049",2048,"Vicary House",1017600,"New development",541,1,1,1,"24 Bartholomew Close","London","EC1A 7BB"
"2050",2049,"47 Pilot Walk",1273600,"Penthouse",1485,3,3,3,"Greenwich","London","SE10 0NW"
"2051",2050,"The Chase",3648000,"House",5380,6,6,6," Tadworth","Surrey","KT20 6HZ"
"2052",2051,"Saltram Crescent",960000,"Flat / Apartment",1043,3,3,3,"","London","W9 3JS"
"2053",2052,"Langroyd Road",1152000,"House",1207,3,3,3,"","London","SW17 7PL"
"2054",2053,"Leighton House",1120000,"Flat / Apartment",922,3,3,3,"John Islip Street","London","SW1P 4EA"
"2055",2054,"Tennyson Road",992000,"House",1201,3,3,3,"","London","SW19 8SH"
"2056",2055,"Port East Apartments",723200,"Flat / Apartment",653,1,1,1," Canary Wharf","London","E14 4AX"
"2057",2056,"City Road",2560000,"New development",1342,3,3,3,"Shoreditch","London","EC1V 1AZ"
"2058",2057,"City Road",1280000,"New development",772,2,2,2,"Shoreditch","London","EC1V 1AZ"
"2059",2058,"Hillgate Place",3936000,"House",1477,3,3,3,"","London","W8 7ST"
"2060",2059,"Albert Mews",1600000,"House",1877,4,4,4,"Canary Wharf","London","E14 8EH"
"2061",2060,"Newman Street",1145600,"Flat / Apartment",601,1,1,1,"Fitzrovia","London","W1T 1PN"
"2062",2061,"City Road",1152000,"Flat / Apartment",1273,2,2,2,"Shoreditch","London","EC1V 2NR"
"2063",2062,"Priory Lane",895936,"House",1226,3,3,3,"West Molesey","Surrey","KT8 2PS"
"2064",2063,"Dartmouth Park Road",1088000,"Flat / Apartment",1382,3,3,3,"Dartmouth Park","London","NW5 1SX"
"2065",2064,"Battersea Church Road",928000,"Flat / Apartment",872,2,2,2,"Battersea","London","SW11 3LY"
"2066",2065,"Mapleton Crescent",441600,"Flat / Apartment",433,1,1,1,"Wandsworth","London","SW18 4GY"
"2067",2066,"Oxhey Road",1216000,"House",1896,4,4,4,"Oxhey","Watford","WD19 4QQ"
"2068",2067,"Venice Lodge",2176000,"Penthouse",1378,3,3,3,"Maida Vale","London","W9 1SD"
"2069",2068,"Stratford Road",1984000,"Flat / Apartment",958,3,3,3,"","London","W8 6QA"
"2070",2069,"Imperial Court",1728000,"Flat / Apartment",1428,3,3,3,"4-10 Lexham Gardens","London","W8 5JH"
"2071",2070,"Highbury Place",1279936,"Flat / Apartment",726,2,2,2,"Highbury","London","N5 1QZ"
"2072",2071,"Cross Street",4224000,"House",2640,5,5,5,"Islington","London","N1 2BH"
"2073",2072,"Kings Drive",1536000,"House",2491,3,3,3,"Surbiton","Surrey","KT5 8NQ"
"2074",2073,"Winterdown Road",1151936,"House",1504,3,3,3,"Esher","Surrey","KT10 8LJ"
"2075",2074,"Marine Wharf East",620800,"New development",545,1,1,1,"","Surrey Quays","SE16 7UD"
"2076",2075,"Lucienne Court",806400,"Penthouse",1043,2,2,2,"72 Lindfield Street","London","E14 6GT"
"2077",2076,"47 Pilot Walk",921600,"Flat / Apartment",987,2,2,2,"Greenwich","London","SE10 0NW"
"2078",2077,"Park Road",3008000,"House",2666,4,4,4,"Grove Park","London","W4 3HP"
"2079",2078,"Edgarley Terrace",1024000,"Flat / Apartment",703,2,2,2,"","London","SW6 6QE"
"2080",2079,"Octavia Street",2304000,"House",1909,4,4,4,"Battersea","London","SW11 3DN"
"2081",2080,"Barrow Road",2112000,"House",2942,5,5,5,"","London","SW16 5PE"
"2082",2081,"Marner Point",470400,"Flat / Apartment",472,1,1,1," Bow","London","E3 3QE"
"2083",2082,"Shandon Road",1209600,"Flat / Apartment",1081,2,2,2,"","London","SW4 9HP"
"2084",2083,"Princes Drive",3200000,"House",5101,6,6,6," Leatherhead","Surrey","KT22 0UL"
"2085",2084,"Watford Heath",1273600,"House",1845,4,4,4,"Oxhey Village","Watford","WD19 4EU"
"2086",2085,"Catalina House",876800,"Flat / Apartment",560,1,1,1,"4 Canter Way","London","E1 8QE"
"2087",2086,"Rosemont Road",1408000,"House",1582,4,4,4,"Hampstead","London","NW3 6NE"
"2088",2087,"17 Lillie Square",1107200,"New development",606,1,1,1," Earls Court","London","SW6 1UE"
"2089",2088,"Haverstock Place",928000,"Flat / Apartment",696,2,2,2,"Haverstock Street","London","N1 8BX"
"2090",2089,"Saville Road",1536000,"House",1310,4,4,4,"Chiswick","London","W4 5HG"
"2091",2090,"Castelnau",2176000,"House",2126,4,4,4,"Barnes","London","SW13 9ER"
"2092",2091,"East Hill",544000,"Flat / Apartment",574,1,1,1,"","London","SW18 2HG"
"2093",2092,"Herne Road",1273600,"House",1839,5,5,5,"Surbiton","Surrey","KT6 5BX"
"2094",2093,"Ludo Building",672000,"Flat / Apartment",596,2,2,2,"375 Earlsfield Road","London","SW18 3DG"
"2095",2094,"Paultons Square",8128000,"House",2948,4,4,4,"","London","SW3 5AP"
"2096",2095,"Broom Road",2912000,"House",2803,5,5,5,"Teddington","Middlesex","TW11 9PG"
"2097",2096,"Burnelli Building",1056000,"Flat / Apartment",722,2,2,2," 352 Queenstown Road","London","SW11 8NG"
"2098",2097,"Peninsula Heights",2240000,"Flat / Apartment",1481,2,2,2,"93 Albert Embankment","London","SE1 7TY"
"2099",2098,"Atheldene Road",1408000,"House",1632,3,3,3," Wandsworth","London","SW18 3BN"
"2100",2099,"Old Ford Road",678400,"Flat / Apartment",626,2,2,2,"","London","E3 5NQ"
"2101",2100,"St. Ann's Terrace",2297600,"Flat / Apartment",1149,2,2,2,"St. John's Wood","London","NW8 6PH"
"2102",2101,"Mallinson Road",928000,"Flat / Apartment",805,2,2,2,"","London","SW11 1BL"
"2103",2102,"Richmond Road",992000,"Flat / Apartment",996,2,2,2,"Hackney","London","E8 3QW"
"2104",2103,"Manor Road",1088000,"House",1242,3,3,3,"","London","W13 0JA"
"2105",2104,"The Gallops",1056000,"House",1272,3,3,3,"Esher","Surrey","KT10 8BN"
"2106",2105,"Henry Tate Mews",1081600,"House",1510,4,4,4,"","London","SW16 3HA"
"2107",2106,"Paget Street",1088000,"Flat / Apartment",826,2,2,2,"Clerkenwell","London","EC1V 7PA"
"2108",2107,"Ennismore Avenue",1120000,"Flat / Apartment",977,2,2,2,"Chiswick","London","W4 1SE"
"2109",2108,"Malthouse Passage",1280000,"House",1354,3,3,3,"Barnes","London","SW13 0AQ"
"2110",2109,"Buckingham Court",1344000,"Flat / Apartment",751,2,2,2,"78 Buckingham Gate","London","SW1E 6PE"
"2111",2110,"Lavender Hill",736000,"Flat / Apartment",765,2,2,2,"","London","SW11 5RW"
"2112",2111,"Benbow Road",1273600,"Flat / Apartment",1013,2,2,2,"","London","W6 0AU"
"2113",2112,"Brendon Close",2112000,"House",3285,4,4,4,"Esher","Surrey","KT10 9EH"
"2114",2113,"Wood Crescent",1977600,"New development",1440,2,2,2,"","London","W12 7GJ"
"2115",2114,"The Highway",1113593.6,"Flat / Apartment",1333,2,2,2,"","London","E1W 3HU"
"2116",2115,"Dungarvan Avenue",1657600,"House",1647,4,4,4,"Putney","London","SW15 5QU"
"2117",2116,"Ensleigh Lodge",5440000,"House",3893,5,5,5,"25 Ham Common","Surrey","TW10 7JB"
"2118",2117,"Bessborough Place",2304000,"House",1467,3,3,3,"","London","SW1V 3SE"
"2119",2118,"Cabul Road",1023936,"Flat / Apartment",1194,3,3,3,"","London","SW11 2PN"
"2120",2119,"Blackhills",2559360,"House",3769,5,5,5,"Esher","Surrey","KT10 9JW"
"2121",2120,"Borneo Street",992000,"Flat / Apartment",863,2,2,2,"Putney","London","SW15 1QQ"
"2122",2121,"Boleyn Road",1132800,"Penthouse",1084,3,3,3,"","London","N16 8EP"
"2123",2122,"Farnsworth Court",633600,"Flat / Apartment",821,2,2,2," Greenwich","London","SE10 0RU"
"2124",2123,"Seymour Road",1984000,"New development",2690,5,5,5,"East Molesey","Surrey","KT8 0PF"
"2125",2124,"Chelsea Court",768000,"Flat / Apartment",455,1,1,1,"95 Elm Park Gardens","London","SW10 9QW"
"2126",2125,"Park Road",2464000,"House",4124,6,6,6,"Banstead","Surrey","SM7 3EF"
"2127",2126,"Clapham Common North Side",4384000,"House",3622,6,6,6,"","London","SW4 9SB"
"2128",2127,"Stillingfleet Road",1920000,"House",2278,5,5,5,"Barnes","London","SW13 9AF"
"2129",2128,"Eustace Building",1024000,"Flat / Apartment",708,2,2,2," 372 Queenstown Road","London","SW11 8NT"
"2130",2129,"Highbury Place",1344000,"Flat / Apartment",1020,2,2,2,"","London","N5 1QP"
"2131",2130,"Islington Green",864000,"Flat / Apartment",628,2,2,2,"Islington","London","N1 2XA"
"2132",2131,"Highgate High Street",1120000,"Flat / Apartment",1077,2,2,2,"Highgate","London","N6 5JG"
"2133",2132,"Norman Avenue",2432000,"House",2061,5,5,5,"","Twickenham","TW1 2LY"
"2134",2133,"Frithwood Avenue",576000,"Flat / Apartment",708,2,2,2,"Northwood","Middlesex","HA6 3LX"
"2135",2134,"Elsham Road",960000,"Flat / Apartment",778,2,2,2,"","London","W14 8HB"
"2136",2135,"Atkins Square",876800,"New development",1000,3,3,3,"Dalston Lane","London","E8 1FA"
"2137",2136,"Dukes Mews",5120000,"House",2435,3,3,3,"Marylebone","London","W1U 3ET"
"2138",2137,"Beech Close",1708800,"House",1771,3,3,3,"Putney","London","SW15 4HW"
"2139",2138,"Admiralty House",2880000,"New development",1265,3,3,3,"150 Vaughan Way","London","E1W 2AH"
"2140",2139,"Westfield",2080000,"Flat / Apartment",1612,3,3,3," Hampstead","London","NW3 7SG"
"2141",2140,"Crane Grove",1088000,"Flat / Apartment",723,2,2,2,"","London","N7 8LE"
"2142",2141,"Crane Grove",704000,"Flat / Apartment",536,1,1,1,"","London","N7 8LE"
"2143",2142,"Crane Grove",1792000,"House",1259,3,3,3,"","London","N7 8LE"
"2144",2143,"Balham Grove",1536000,"House",1335,4,4,4,"Nightingale Triangle","London","SW12 8AZ"
"2145",2144,"Lambourne Avenue",7673600,"New development",6313,6,6,6,"Wimbledon","London","SW19 7DW"
